"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS_pw" "MinAD_CRS_pw" "MaxAD_CRS_pw" "MAR_CRS_pw_g.cm.2.yr" "MAR_CRS_pw_err_g.cm.2.yr"
205 1.525475 1960.0195047445 1942.35655865935 1977.68245082964 0.0532333396264638 0.0624465288293111
210 1.5981 1958.45877853493 1941.08787193346 1975.8296851364 0.0549206994401542 0.0651485443674638
215 1.670725 1956.89805232537 1939.81918520758 1973.97691944316 0.0566080592538446 0.0678505599056165
220 1.74335 1955.3373261158 1938.55049848169 1972.12415374992 0.058295419067535 0.0705525754437692
225 1.81855 1953.99388998831 1937.5393814737 1970.44839850292 0.0524675963044569 0.061722278453286
230 1.89375 1952.65045386082 1936.52826446572 1968.77264325593 0.0466397735413788 0.0528919814628028
235 1.96895 1951.30701773333 1935.51714745773 1967.09688800893 0.0408119507783007 0.0440616844723196
240 2.04415 1949.96358160584 1934.50603044974 1965.42113276194 0.0349841280152225 0.0352313874818364
245 2.1306125 1947.34167267091 1932.72076489484 1961.96258044697 0.0420577307040004 0.0458609934217948
250 2.217075 1944.71976373597 1930.93549933994 1958.504028132 0.0491313333927782 0.0564905993617533
255 2.3035375 1942.09785480104 1929.15023378504 1955.04547581703 0.056204936081556 0.0671202053017117
260 2.39 1939.4759458661 1927.36496823014 1951.58692350206 0.0632785387703338 0.0777498112416702
265 2.473025 1937.82102075519 1926.70907970362 1948.93296180675 0.0671061427902679 0.0928142992502425
270 2.55605 1936.16609564427 1926.0531911771 1946.27900011144 0.070933746810202 0.107878787258815
275 2.639075 1934.51117053336 1925.39730265058 1943.62503841613 0.0747613508301362 0.122943275267387
280 2.7221 1932.85624542244 1924.74141412405 1940.97107672082 0.0785889548500703 0.138007763275959
285 2.80125 1931.89218406683 1925.80606059304 1937.97830754062 0.0621379070595509 0.113881025034667
290 2.8804 1930.92812271122 1926.87070706203 1934.98553836041 0.0456868592690316 0.0897542867933755
295 2.95955 1929.96406135561 1927.93535353101 1931.99276918021 0.0292358114785122 0.0656275485520836
300 3.0387 1929 1929 1929 0.0127847636879928 0.0415008103107918
