"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CIC" "MinAD_CIC" "MaxAD_CIC" "MAR_CIC_g.cm.2.yr" "MAR_CIC_err_g.cm.2.yr"
110 0.9835 1987.09841926029 1976.30977662853 1997.88706189206 0.0269145060727897 0.0443161652421145
115 1.04653125 1982.30729262564 1971.20955707596 1993.40502817532 0.0235443015348438 0.0360682184189486
120 1.1095625 1977.51616599098 1966.10933752338 1988.92299445858 0.0201740969968979 0.0278202715957826
125 1.17259375 1972.72503935632 1961.00911797081 1984.44096074184 0.016803892458952 0.0195723247726167
130 1.235625 1967.93391272167 1955.90889841824 1979.95892702509 0.013433687921006 0.0113243779494508
135 1.30045 1966.32636118524 1954.44448316284 1978.20823920765 0.0202285174105689 0.0347140809840672
140 1.365275 1964.71880964882 1952.98006790743 1976.4575513902 0.0270233469001317 0.0581037840186836
145 1.4301 1963.11125811239 1951.51565265203 1974.70686357276 0.0338181763896946 0.0814934870533001
150 1.494925 1961.50370657597 1950.05123739663 1972.95617575531 0.0406130058792574 0.104883190087917
155 1.560125 1957.20446946071 1944.72733715442 1969.68160176699 0.0342460366180264 0.0829145950038163
160 1.625325 1952.90523234545 1939.40343691222 1966.40702777867 0.0278790673567954 0.060945999919716
165 1.690525 1948.60599523018 1934.07953667001 1963.13245379035 0.0215120980955643 0.0389774048356158
170 1.755725 1944.30675811492 1928.7556364278 1959.85787980204 0.0151451288343333 0.0170088097515155
175 1.8239 1945.9476679748 1930.95771785258 1960.93761809702 0.000505492986152566 0.0465999847567374
180 1.892075 1947.58857783468 1933.15979927735 1962.01735639201 -0.0141341428620282 0.0761911597619593
185 1.96025 1949.22948769457 1935.36188070213 1963.097094687 -0.0287737787102089 0.105782334767181
190 2.028425 1950.87039755445 1937.5639621269 1964.17683298199 -0.0434134145583897 0.135373509772403
195 2.09714375 1950.46229424555 1937.0093378848 1963.91525060629 0.00799339610789305 0.579428767927215
200 2.1658625 1950.05419093664 1936.4547136427 1963.65366823059 0.0594002067741758 1.02348402608203
205 2.23458125 1949.64608762774 1935.9000894006 1963.39208585489 0.110807017440459 1.46753928423684
210 2.3033 1949.23798431884 1935.34546515849 1963.13050347919 0.162213828106741 1.91159454239165
215 2.3666 1946.5819910085 1931.96873091514 1961.19525110185 0.127345626363343 1.44535175814593
220 2.4299 1943.92599769815 1928.5919966718 1959.25999872451 0.0924774246199454 0.979108973900214
225 2.4932 1941.27000438781 1925.21526242845 1957.32474634718 0.0576092228765474 0.512866189654497
230 2.5565 1938.61401107747 1921.8385281851 1955.38949396984 0.0227410211331494 0.0466234054087785
235 2.6183875 1935.49754170297 1917.61491043838 1953.38017296756 0.0221396438207624 0.0459941070272279
240 2.680275 1932.38107232847 1913.39129269166 1951.37085196528 0.0215382665083755 0.0453648086456773
245 2.7421625 1929.26460295397 1909.16767494494 1949.361530963 0.0209368891959885 0.0447355102641267
250 2.80405 1926.14813357947 1904.94405719823 1947.35220996072 0.0203355118836015 0.0441062118825762
255 2.8687625 1926.33646554121 1905.37684628161 1947.2960848008 -0.0724259957787166 3.44366593593237
260 2.933475 1926.52479750294 1905.809635365 1947.23995964088 -0.165187503441035 6.84322565998216
265 2.9981875 1926.71312946468 1906.24242444839 1947.18383448096 -0.257949011103353 10.242785384032
270 3.0629 1926.90146142641 1906.67521353178 1947.12770932104 -0.350710518765671 13.6423451080818
275 3.12993125 1923.84104320581 1902.37302692892 1945.30905948271 -0.257477071609323 10.2464216270099
280 3.1969625 1920.78062498521 1898.07084032605 1943.49040964438 -0.164243624452976 6.85049814593807
285 3.26399375 1917.72020676461 1893.76865372318 1941.67175980604 -0.0710101772966285 3.45457466486622
290 3.331025 1914.65978854401 1889.46646712031 1939.85310996771 0.0222232698597189 0.0586511837943805
295 3.40075625 1912.07754564465 1885.53896149268 1938.61612979662 0.0235848883975831 0.0705202743088549
300 3.4704875 1909.49530274529 1881.61145586505 1937.37914962553 0.0249465069354472 0.0823893648233293
305 3.54021875 1906.91305984593 1877.68395023742 1936.14216945443 0.0263081254733114 0.0942584553378037
310 3.60995 1904.33081694657 1873.75644460979 1934.90518928334 0.0276697440111755 0.106127545852278
315 3.6803625 1905.20307113924 1873.56741656801 1936.83872571047 0.000868482690329783 0.343673591951496
320 3.750775 1906.07532533191 1873.37838852622 1938.77226213759 -0.025932778630516 0.581219638050714
325 3.8211875 1906.94757952458 1873.18936048444 1940.70579856472 -0.0527340399513618 0.818765684149931
330 3.8916 1907.81983371725 1873.00033244265 1942.63933499185 -0.0795353012722075 1.05631173024915
