depth,(M) Navicula bipustulata,Actinocyclus cf. normanii,Nitzschia tubicola,Petroneis humerosa,Pinnularia semiinflata,Tabularia waernii,Cocconeis scutelum,(B) Nitzschia sigma,Parlibellus plicatus,Navicula arenaria,Navicula hanseatica,Navicula meniscus,Rhopalodia musculus,Halamphora acutiscula,Halamphora coffeiformis,Navicula peregrina,Navicula phylleoptosoma,Navicula veneta,(E) Pinnuavis elegans,Diploneeis smithii,Mastogloia smithii,Nitzschia dubia,Parlibellus crucicula,Tryblionella hantzschiana,Amphora ovalis,Navicula rhynchotella,Diploneis smithii,Staurosirella martyi,Surirella ovalis,Navicula gregaria,Diploneis eliptica,Planothidium delicathulum,Stephanocyclus meneghinianus,(F) Ctenophora pulchella,Diatoma moniloformis,Luticolopsis vietnamica,Navicula radiosa,Nitzschia incospicua,Placoneis clementis,Sellaphora bacillum,Synedra famelica,Brebissonia lanceolata,Craticula halophilioides,Fallacia pygmaea,Nitzschia nana,Pseudostaurosira elliptica,Caloneis amphisbaena,Diatoma tenuis,Nitzschia dissipata,Brachysira styriaca,Fragilaria capucina,Pseudostaurosira brevistriata,Fragilaria gracilis,Nitzschia palea,Pinnularia borealis,Pinnularia cardinaliculus,Sellaphora laevissima,Caloneis silicula,Encyonema minutum,Gomphonema acuminatum,Cymbella cymbiformis,Encyonema silesiacum,Pinnularia viridiformis,Adlafia minuscula,Cymbopleura naviculiformis,Gomphonema minusculum,Pinnularia viridis,Achnanthidium caledonicum,Achnanthidium lineare,Achnanthidium minutissimum,Achnanthidium peterseni,Brachysira procera,Brachysira serians,Brachysira vitrea,Caloneis schumanniana,Cavinula pseudoscutiformis,Cocconeis placentula,Diploneis abscondita,Diploneis boldtiana,Diploneis finnica,Encyonema neogracile,Encyonopsis cesatii,Encyonopsis microcephala,Eucocconeis alpestris,Eunotia arcus,Eunotia bilunaris,Eunotia boreoalpina,Eunotia glacialis,Eunotia implicata,Eunotia paludosa,Eunotia rhomboidea,Eunotia tenella,Eunotia tetraodon,Eunotia triodon,Eunotia vanheurckii,Fragilaria exigua,Fragilaria radians,Fragilaria rhabdosoma,Fragilaria tenera,Fragilaria tenera var. nanana,Fragilariforma bicapitata,Fragilariforma virescens var. subsalina,Frustulia erifuga,Frustulia saxonica,Frustulia vulgaris,Gomphonema coronatum,Gomphonema druteligense,Gomphonema parvulius,Gomphonema parvulum,Gomphonema pumilum,Gyrosigma acuminatum,Hippodonta hungarica,Iconella amphioxys,Navicula cryptocephala,Neidium affine,Nitzschia hantzschiana,Nitzschia homburgensis,Nitzschia sigmoidea,Pinnularia krammeri,Pinnularia microstauron,Pinnularia pulchra,Pinnularia subgibba,Pinnularia subnodosa,Pinnularia turfosiphila,Planothidium daui,Platessa oblongella,Psammothidium subatomoides,Rossithidium pusillum,Stauroforma exiguiformis,Stauroneis acidoclinata,Stauroneis gracilis,Stauroneis kriegeri,Stauroneis phoenicentron,Stauroneis sylvahassiaca,Staurosira bidonis,Staurosira construens,Staurosira venter,Staurosirella pinnata,Tabellaria fenestrata,Tabellaria flocculosa,Tabellaria ventricosa,Ulnaria ulna,Gomphonema naviculoides,Lindavia radiosa,(I) Diatoma sp.,Achnanthes sp.,Nitzschia sp.,Pinnularia sp.,Surirella sp.
24.75,0,0,0,0,0,0,0,0,5,5,3,49,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,5,3,1,2,0,0,7,0,0,0,0,0,0,0,35,0,2,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,18,15,44,0,6,0,0,6,1,0,0,0,6,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,25,0,0,119,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
25.25,0,0,0,0,1,0,2,0,2,2,4,17,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,4,1,8,2,5,0,0,0,10,1,0,0,0,0,0,0,34,0,1,0,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,12,31,42,0,10,0,0,6,1,0,0,0,9,0,4,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,0,25,0,0,111,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,1
25.75,0,0,0,0,0,0,0,0,1,5,10,22,0,0,0,6,0,0,6,1,0,1,0,0,1,0,0,0,0,4,1,2,6,3,0,0,0,1,1,0,0,0,0,0,0,40,0,2,1,0,1,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,13,6,27,0,7,0,5,8,2,0,0,0,2,0,3,0,0,1,0,0,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,144,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,4,0,0,0,0
27.75,0,0,0,0,0,0,0,0,4,1,6,28,0,0,0,4,0,1,5,0,0,2,0,0,0,0,0,0,0,2,1,1,2,5,0,0,0,5,0,0,0,0,0,0,0,83,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,5,10,19,0,3,0,0,2,1,0,0,0,1,0,3,0,0,2,0,0,3,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,162,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
29.75,1,0,0,0,0,0,0,0,2,0,15,26,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,3,5,4,0,0,2,1,2,0,0,0,0,0,0,47,0,2,0,0,0,17,1,13,5,0,0,0,6,0,0,2,0,0,0,0,3,0,1,17,3,2,0,0,1,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,174,0,1,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0
30.25,1,0,0,0,0,0,0,0,2,3,8,31,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,8,3,9,2,0,0,4,1,0,0,0,0,0,0,55,0,1,3,0,0,9,0,0,11,0,0,0,5,0,0,0,0,0,0,0,2,0,4,30,22,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,116,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,1
30.75,0,0,0,0,0,0,1,0,0,0,6,36,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,3,0,6,5,8,1,0,0,11,2,0,0,0,0,0,0,58,0,2,0,0,0,11,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,3,22,25,0,4,0,2,2,1,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,25,0,0,121,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1
31.25,0,0,0,0,0,0,0,0,2,0,9,17,0,0,0,6,0,0,3,0,0,2,0,0,2,0,0,0,0,5,4,6,4,12,3,0,0,9,3,1,0,0,0,0,0,86,0,3,0,0,0,8,0,0,5,0,0,0,3,0,0,0,0,0,0,0,2,0,1,23,15,0,2,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,112,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0
31.75,0,0,0,0,0,0,2,0,3,1,11,24,0,0,0,7,0,0,5,0,0,1,0,0,0,0,0,0,0,9,0,0,5,2,1,0,0,1,2,0,0,0,0,1,0,84,0,0,0,1,0,16,0,14,8,0,0,0,1,0,0,4,0,0,0,0,0,0,0,8,1,2,0,1,1,3,4,3,1,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,136,0,1,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0
32.25,0,0,0,0,1,0,0,0,1,0,16,26,0,0,0,9,0,2,8,0,0,0,0,0,0,0,0,0,0,5,3,5,7,3,0,0,0,3,1,0,0,0,0,0,0,76,0,0,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,6,16,17,0,5,0,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,25,0,0,112,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
